userID,recommended_itemIDs
275,858 318 260 593 2762 1617 750 1196 2692 608
279,919 318 858 908 912 2858 2396 593 1193 904
287,260 1198 858 1196 593 1136 1387 1240 318 2028
291,593 1617 2858 2028 1193 912 908 2804 2396 1207
293,260 1196 1198 2028 2762 593 318 1197 1291 1200
307,2858 593 1617 2028 2762 318 260 1198 1196 1197
311,2858 318 2762 2028 2396 593 1617 2324 1784 2599
327,318 2762 260 1198 858 593 2028 2858 1197 1196
337,318 1198 2762 593 858 260 2028 457 1196 2858
353,858 318 1617 593 912 1193 260 2858 750 2396
377,2762 2858 1198 2028 1197 260 1617 858 457 593
387,2762 318 2396 260 593 1198 2028 1097 2858 3147
389,858 318 2997 2028 1193 608 593 2599 1617 1213
397,1196 1198 858 1214 1200 1197 318 2028 593 1240
407,260 2028 1197 318 2762 1291 1270 858 1097 3147
409,912 908 2858 750 913 858 1304 924 923 1252
415,858 2858 1213 1617 318 608 2028 111 260 1136
425,2762 318 2028 2858 1198 260 593 1197 858 457
443,260 2762 1196 1240 858 2716 589 541 1200 1197
447,260 1198 1197 318 2396 919 1097 2762 912 858
455,318 2762 2858 858 2028 593 260 1198 1197 608
457,2762 2858 593 318 608 1198 260 858 2028 2997
463,858 1617 1193 2858 593 318 608 260 1208 1136
467,318 2762 1197 2858 1198 2324 593 260 2396 608
473,1198 2762 260 2028 318 457 1291 1197 593 1196
475,858 318 593 912 1193 2762 2858 1207 1247 908
485,2858 318 2762 2028 858 593 260 1198 1197 608
487,2762 318 2396 1198 2858 593 1097 1197 2028 919
495,1198 858 2028 1196 318 593 1197 1617 1136 2858
513,318 2028 1198 260 457 858 1196 2858 1197 1193
519,260 2762 1198 318 1197 2716 1270 1097 1291 2396
525,260 318 1196 1198 1197 2858 1617 2028 2396 2762
527,318 260 1196 1198 1197 2396 1207 593 1617 858
529,750 912 858 260 919 908 904 923 1207 1198
533,2858 318 2762 2396 858 1617 2028 912 908 260
539,858 318 260 1198 593 2028 608 912 1617 1196
567,1196 260 1197 1200 541 589 1374 1136 1617 1240
571,318 1198 858 260 593 1197 1196 1617 2762 912
573,858 593 260 1136 2858 608 1196 1198 1208 750
583,2858 593 858 608 318 2762 2028 1193 1213 260
589,260 1198 858 1197 593 2762 1617 318 1136 1291
595,318 2858 2028 858 2762 593 1617 608 1193 260
613,1207 904 923 910 922 898 913 919 858 1252
615,2858 593 2762 858 608 1617 1193 2997 1213 1197
623,858 1193 260 750 912 318 1198 2028 1136 2858
625,2762 2858 318 2028 593 1198 260 858 1196 589
629,318 2858 2762 2028 858 1198 260 593 1617 2396
633,2858 2028 858 318 2762 593 608 1213 1193 1198
641,593 1198 858 318 2028 1213 589 2762 2858 1089
647,318 2762 2028 260 1198 593 858 2396 2858 150
649,2762 318 2028 2396 593 1198 150 457 3408 2324
651,260 919 1198 608 318 1196 858 1136 2762 1193
657,858 260 593 1198 1196 608 318 1136 2858 1193
659,260 318 912 2762 1198 858 1197 919 593 1196
665,318 858 593 2762 260 1198 2396 1193 2858 912
667,858 318 1617 912 260 1207 1198 1197 2858 2028
679,1198 260 2762 1196 318 593 2028 589 457 1291
683,2028 260 2762 1198 318 1196 593 1270 457 589
687,593 2858 1213 1617 858 1198 318 260 1196 608
691,318 2762 2396 1197 260 919 2324 2858 150 2302
695,608 318 260 912 750 858 2762 2028 593 2858
697,318 2028 260 1198 858 2858 1196 1197 2396 457
701,260 858 1198 1196 318 1136 608 912 750 1193
715,1196 318 1136 919 912 750 593 608 2028 2762
717,260 858 1198 1197 318 541 750 1136 1617 912
719,260 1198 2762 1196 2028 318 593 457 858 1270
729,260 1198 593 858 318 2762 2028 1196 608 1197
735,318 2858 2762 2028 593 858 2324 2396 1197 1193
737,2028 1198 858 260 593 2858 1240 1213 1196 318
741,318 858 1193 2762 593 260 608 2028 1617 2997
749,318 858 2858 2028 260 2762 608 1198 1617 1193
751,2028 858 593 1196 1197 3147 457 1270 1291 2858
757,2762 318 2028 593 858 912 2858 608 1198 260
759,2858 2028 2762 318 593 1213 1617 858 2599 1193
771,858 1213 1089 593 2858 2791 1617 1198 1196 1387
773,858 318 260 1198 593 2762 919 912 1193 1207
777,1198 260 1196 2762 2028 1197 858 1270 589 1240
779,858 1219 923 608 1617 919 593 912 904 908
785,858 2858 1617 318 260 2997 608 1198 1193 750
791,2858 2997 608 1617 1213 318 593 2599 858 1089
797,2762 260 1197 1198 318 1196 593 2858 2396 858
801,260 1198 2028 858 2762 1196 593 1240 318 589
817,318 593 2028 2858 858 1213 1198 260 2762 608
819,2762 318 2858 1198 593 2028 260 1197 1196 223
825,318 1617 2396 858 2762 912 608 593 1193 2997
829,858 593 1193 1136 2028 750 1198 318 1213 912
849,1198 260 858 593 2762 2028 1196 2858 1387 1197
857,858 608 2997 1193 1617 2858 1213 1089 260 1136
859,912 908 858 750 913 260 923 919 2858 904
861,260 1198 1196 1197 318 1270 2762 1291 593 589
863,260 1198 858 1196 318 2762 2028 593 1197 1387
869,2028 1198 260 2762 858 318 3753 1304 589 1291
875,260 2762 858 1196 1198 2028 1197 2858 589 1136
883,260 1196 1198 318 1197 593 2762 608 2858 1097
885,2762 318 2028 858 260 1198 2858 593 1197 919
887,858 1207 608 1247 912 593 908 750 904 318
889,1198 1196 858 1197 2028 1136 1291 2762 1387 318
893,2762 858 318 1198 260 593 2028 2858 1214 919
903,858 2762 1198 593 318 260 2858 1193 1136 912
905,858 1198 1219 750 593 1208 1196 1193 1213 1136
909,912 919 260 1198 318 858 1207 2762 1197 908
911,260 2028 1198 318 1196 858 1197 593 1291 1240
917,260 1198 1196 318 593 1197 858 2762 2028 1270
923,260 318 2762 1198 1196 858 2028 593 912 608
933,260 2762 1198 1197 1196 2396 593 1097 2028 608
935,919 318 2762 260 912 858 2396 1197 1198 593
937,858 2858 2028 1213 1208 593 1193 318 1617 608
941,858 750 608 912 260 923 1193 1136 1198 541
943,858 318 593 1196 912 2028 1193 1207 1617 904
947,2858 1089 593 2997 318 223 1213 608 2700 1196
959,858 593 1213 608 318 2028 1617 2997 260 111
985,318 2762 2858 593 2396 1198 2028 858 1617 1197
997,318 2396 2762 1207 260 912 150 3408 919 2028
1005,608 260 2997 858 1197 593 2716 318 919 1270
1007,858 593 608 2858 260 1198 1213 2762 2028 1617
1009,858 260 1198 924 750 912 2028 1193 2858 1278
1025,858 260 2028 318 1617 2858 1198 593 608 1196
1039,318 2762 858 2396 593 1617 1198 2028 912 1193
1045,2762 318 260 593 1198 2028 858 1617 1197 908
1049,858 608 1193 593 2028 1213 318 2858 1208 1136
1051,858 318 1193 593 2858 912 1207 2028 2396 260
1053,318 1197 2762 260 1198 2396 593 1196 2324 919
1057,858 1213 1208 2858 111 1193 593 750 608 924
1061,2762 318 2396 1198 588 1270 3147 2028 457 1197
1069,318 2762 2396 858 260 2858 1617 593 1198 1197
1073,908 858 904 923 919 1247 1193 750 913 1207
1077,1196 260 318 858 2858 2762 593 1136 1617 589
1079,593 2858 2028 608 2762 1198 260 858 1213 1617
1081,260 1196 1197 1270 1291 1097 2762 2028 919 2716
1085,1198 2762 260 3753 1291 3147 457 1197 1196 1270
1089,2762 318 2858 2028 260 593 1198 858 1197 1196
1091,912 1234 2396 1207 590 1304 2028 260 1193 3363
1093,260 2028 1198 593 1196 858 318 2762 589 2858
1105,2858 318 2762 2997 608 2324 593 858 2599 1617
1113,260 1198 1196 1197 541 1200 318 1240 1270 858
1119,2762 318 1198 260 2028 593 457 858 919 1196
1133,260 1197 2762 1214 858 589 1200 318 1240 1291
1135,318 2762 2028 858 2858 593 1198 260 457 2396
1139,318 2762 1197 1198 260 1196 2028 593 1291 1270
1141,2762 260 2028 1198 318 1196 2858 1240 589 1214
1149,260 1196 1198 318 1197 589 457 1291 2028 593
1157,260 1197 1196 858 2804 1270 1136 318 593 1291
1167,2762 318 593 2028 858 260 1198 1197 1617 608
1171,2858 858 1617 2028 318 260 608 593 2997 2762
1175,608 1247 919 1148 318 1193 1207 912 2858 2762
1177,858 318 593 260 2762 1198 2028 1617 1196 1213
1183,260 858 1198 2028 318 2762 593 541 1617 589
1189,318 2762 2858 2396 2028 1198 1197 593 260 1617
1197,858 318 2858 593 260 1198 2028 2762 1617 1196
1201,593 858 318 1617 2028 608 1213 2762 1196 1193
1205,1198 260 2028 593 318 858 2762 1196 2858 1197
1219,858 1208 1213 1193 2028 1617 1136 318 750 608
1221,858 260 1198 318 593 1196 1136 912 1617 2028
1227,1198 260 1197 318 919 2762 1196 2396 593 1097
1229,2028 593 2762 2858 318 858 1198 457 1196 1617
1233,858 912 908 1193 2858 318 593 1617 260 1136
1239,858 260 1198 750 608 912 318 904 593 919
1247,318 1198 858 593 2762 1197 1196 2396 919 457
1255,260 1196 1198 1197 2762 318 2028 593 1291 858
1257,260 1198 1270 1196 1197 1291 2762 1580 588 1097
1273,858 1198 260 912 318 904 2762 2028 1207 908
1277,2762 2028 919 318 3753 3147 920 3408 2396 590
1281,318 2858 2762 260 1198 858 593 2028 1617 1196
1285,593 858 1198 260 2858 1213 1196 318 2028 608
1293,2762 2028 318 593 2706 2959 1213 1617 457 3147
1295,318 2858 2762 858 608 260 593 1617 1198 1197
1303,593 2028 318 2858 260 1198 1196 858 608 1617
1309,2858 608 2997 750 1247 3683 1206 3481 2599 858
1311,912 750 260 919 858 908 1136 904 923 1198
1323,2762 1198 260 318 1197 1196 457 1270 919 1291
1325,2858 2762 2028 260 318 593 1198 858 1196 589
1331,593 608 858 2858 1213 1193 1617 2762 260 2997
1333,318 260 2762 1198 2858 1196 1197 858 593 2028
1341,858 260 912 750 908 2858 1198 919 904 1197
1345,2858 608 2997 2908 2599 1213 3481 318 3683 265
1347,1198 318 1197 2762 1291 858 593 1270 589 1240
1353,913 908 912 750 904 1148 1197 919 910 2692
1361,260 318 1148 912 1197 2762 919 858 2858 608
1365,2858 2028 2762 593 1213 318 1198 858 457 260
1379,593 318 2028 2858 260 1213 608 1193 1198 2762
1385,318 858 2028 2858 2762 260 593 1193 1198 608
1391,2858 750 858 1193 912 2997 1136 1617 260 2762
1395,858 2858 593 260 2762 1193 541 1213 1617 2028
1397,2858 2762 260 1198 1197 2997 1196 541 593 1617
1399,858 260 2858 318 1198 593 1617 608 1193 912
1417,260 1617 2858 858 318 593 608 1198 1196 1197
1423,2858 1197 318 1968 593 1198 2959 2716 260 223
1431,1198 260 2762 318 1291 589 1270 593 457 3793
1435,2762 318 1198 1197 260 2858 593 457 2028 1270
1449,608 2997 2908 2396 2858 593 1207 1148 2324 1247
1461,919 1028 910 1148 750 908 1198 904 1097 594
1471,318 2762 1197 260 593 858 2028 1198 1617 2804
1477,2762 260 1198 318 593 2028 457 1196 919 3147
1479,858 260 1198 1196 912 750 904 593 1136 1193
1481,2762 318 2028 593 2858 1198 589 260 457 1240
1491,318 593 2762 2028 1617 858 260 2858 1196 1198
1493,2762 318 593 2028 260 1198 2858 858 1196 457
1501,260 318 2762 593 1198 1196 858 2858 1197 2028
1507,2762 318 2858 593 3147 3753 858 733 1617 589
1511,1198 260 858 1196 2762 2028 318 2858 1387 1197
1515,260 1198 1196 593 858 318 2028 2762 1197 2858
1527,318 2762 260 1197 2396 1198 1196 593 1148 3751
1529,2762 1198 318 1197 260 1291 1270 2028 593 3147
1531,260 1198 1196 318 1270 1097 2762 858 2716 2396
1539,2858 1196 1198 593 260 1089 1213 589 2028 318
1577,1198 260 1196 593 858 318 2028 1197 2762 589
1583,858 260 593 1198 541 1196 1213 2858 318 750
1613,2762 2028 2858 318 260 1198 1197 3147 457 1580
1617,2028 2762 318 2858 593 260 1198 3147 858 457
1619,318 2762 2858 2028 1198 593 260 1240 608 2396
1623,318 2762 1197 260 1198 2324 593 1196 3147 1270
1625,318 2762 2396 2324 1307 1197 593 1617 2028 1198
1629,2762 318 593 2028 260 1198 858 1196 1197 1617
1633,260 1196 2762 1198 1580 1291 2706 318 2858 780
1645,318 608 2762 593 2028 1197 1198 1617 858 3897
1651,2858 318 858 608 1193 593 1617 2762 1213 260
1657,858 608 1193 750 912 1213 2028 1252 924 1208
1659,858 912 260 750 1198 1207 593 318 923 1136
1661,2028 2762 318 593 608 1213 858 2997 2599 2959
1675,2762 2858 2997 608 318 593 1197 260 2692 1198
1679,260 1198 912 608 858 919 2396 1193 1207 750
1689,318 608 2858 858 1198 2028 1617 1193 260 1213
1693,1198 260 1196 858 593 2028 318 1197 2762 1136
1701,2762 2028 318 593 858 1198 2858 260 589 1240
1717,858 1387 2858 593 1213 2028 1089 1258 1219 1222
1727,858 318 923 1207 608 1193 904 1247 260 2396
1745,858 318 1193 1247 912 750 608 2762 2028 260
1751,1198 260 1196 589 2028 1197 2762 318 1200 1214
1753,1198 260 1196 2028 1240 318 589 2762 1197 1291
1757,858 593 260 1198 2762 318 1193 1136 2858 1196
1761,260 318 2762 2858 1198 1197 858 541 2997 1617
1763,260 1198 858 1617 593 2858 1197 912 318 2028
1771,2858 2762 318 2396 593 2336 2028 2599 3897 2908
1789,318 2396 260 593 919 1196 1197 912 1207 1198
1791,2762 2028 593 260 1198 2858 318 3147 1240 1197
1803,318 2858 608 260 858 2762 1197 2997 593 912
1807,593 2762 318 2028 2858 858 1198 1213 457 260
1823,858 260 593 318 912 1196 750 1207 919 1198
1831,2858 858 1617 1213 2028 593 2762 1193 1198 260
1833,1198 1196 858 593 2028 2762 1136 1387 1197 318
1835,2762 318 1198 260 2028 150 2396 1197 919 457
1851,2762 1197 318 1198 1196 2396 1580 2858 2716 3175
1861,912 919 904 910 1207 858 923 913 898 1219
1867,318 260 1198 1617 2762 2858 858 2028 1196 2396
1889,2762 318 2028 3147 3753 1197 1307 150 457 260
1891,858 260 593 1198 2858 318 1196 2762 1219 1617
1897,1198 1200 1214 1240 1197 541 2716 1374 1270 1136
1905,260 1198 608 858 750 541 1136 912 593 1200
1909,2028 2858 318 593 608 2762 1198 589 260 1617
1915,1247 1252 111 750 1244 923 912 908 1207 904
1921,2028 318 2762 593 858 2396 3147 260 1198 457
1925,1198 318 593 858 2028 2762 589 1240 1617 1270
1929,858 2858 608 912 593 1247 750 111 318 908
1937,318 2858 2396 2762 2324 1617 593 912 2336 1148
1939,318 3147 1198 2028 589 260 1291 1197 1196 733
1949,318 2028 858 2762 593 589 1196 2858 1617 1240
1955,858 318 593 2028 1193 1617 1213 2762 608 260
1957,2762 318 2028 1198 457 260 3753 593 3147 1196
1959,858 260 318 1198 912 593 1617 1207 2804 1193
1961,318 2858 1617 593 858 2762 2028 608 1193 260
1965,2762 318 260 2028 1198 2858 858 593 1197 1580
1969,2028 1198 260 593 2762 2858 1196 318 589 1240
1979,2762 318 1198 1197 260 593 2858 2028 1196 1617
1985,858 750 2858 1617 260 608 912 1193 593 541
1993,260 318 2396 1198 1197 919 2762 1196 1097 1307
1995,2762 2396 1148 3751 318 265 2858 2336 2908 1035
1997,2762 2028 318 593 457 2858 3147 1291 2706 260
2001,2858 2396 318 2336 593 2908 2599 2692 908 3751
2005,858 2028 260 318 2762 1196 2858 1617 589 1197
2013,260 1196 2028 858 1197 2762 1270 593 318 589
2017,2858 608 2997 260 593 924 858 2028 1198 2762
2019,858 260 2997 541 1198 1617 1196 593 2028 1193
2023,1197 318 260 1198 858 608 1207 912 2762 2324
2027,2858 318 608 858 2762 908 1617 919 912 593
2033,858 260 593 1196 1214 919 1200 1198 1136 608
2059,260 2028 589 1198 1240 2762 318 541 858 1196
2063,318 1197 260 858 912 1198 2396 1617 1148 2858
2069,2858 2028 2762 318 593 260 1198 589 1240 608
2077,318 2762 2858 260 593 2028 1198 608 1197 858
2079,260 608 2858 318 858 1136 2028 593 1193 1394
2085,318 858 2858 2762 1193 608 260 2028 593 1198
2087,858 750 912 260 1198 1136 904 1207 1197 1193
2099,2858 318 593 2028 2762 1617 1213 1196 2396 260
2101,1197 260 318 1196 1198 2858 593 2396 1291 588
2121,858 318 260 2762 593 1198 2858 2028 1196 1197
2127,1196 593 1197 2762 2396 858 1270 2804 1097 1307
2133,2762 318 260 858 1198 912 1197 2396 919 1196
2145,1207 904 908 2396 923 898 1148 1296 910 913
2151,2858 2028 2762 593 318 260 858 1198 1617 1196
2179,1198 593 260 318 2762 1196 2028 1197 1240 589
2185,318 2762 608 593 2858 858 1198 260 919 2396
2193,593 318 2858 2028 1197 260 2762 1089 858 2791
2195,260 1198 593 2028 2858 1196 2762 1136 1214 1240
2197,2997 608 2599 858 1213 1193 111 593 1252 1089
2201,260 1196 318 2762 858 2028 2858 541 593 1617
2207,858 2858 608 593 260 2762 1213 318 1198 541
2209,593 1198 1387 2028 260 1193 2858 318 2762 1196
2221,260 318 2762 1198 2028 858 593 1196 1197 912
2223,318 260 1196 1197 2762 593 2396 1617 2858 589
2229,593 858 318 2762 1213 2028 2858 1198 260 2804
2231,2396 2324 497 919 912 318 1197 265 608 1207
2241,318 2762 2028 2858 260 593 858 1198 1617 2396
2243,1198 260 2762 858 2028 593 1196 318 589 457
2247,608 858 2997 2028 593 318 541 1240 1394 260
2249,318 2396 2762 1207 1035 2324 497 1197 3408 912
2257,1198 260 2762 2028 318 457 593 1270 1291 1240
2261,858 912 1617 260 1193 750 2028 593 1198 2858
2263,1198 2762 1240 2716 260 1214 1197 589 1196 2858
2267,750 923 904 1193 260 1252 1219 1207 1387 1276
2277,2762 2324 593 2997 2396 2028 2959 1617 2692 1197
2297,2858 1213 593 2599 2997 2700 1089 2028 1617 2791
2299,922 923 1148 750 912 858 1219 919 2186 908
2305,2762 318 1198 2028 260 457 589 1196 2858 1197
2313,2762 2858 318 1197 1198 260 593 2028 1196 1580
2321,912 858 919 923 1193 904 750 260 1617 1247
2323,858 912 260 593 919 1198 904 750 1207 608
2333,260 318 2762 1198 2396 1197 919 1097 1196 457
2335,593 318 260 1196 2997 2762 1617 1197 1213 608
2341,2858 2762 318 1197 593 1198 260 2028 2997 608
2357,858 260 1196 593 318 541 750 2858 1193 1617
2359,318 260 1198 2858 1197 919 912 858 908 593
2363,858 260 750 1193 912 1198 1136 924 919 923
2367,2762 318 593 2028 3147 457 260 3753 2396 1198
2369,2762 2028 318 593 858 1617 1213 1193 2396 2599
2383,2858 318 858 2762 608 2997 1193 260 1197 750
2391,318 858 260 2396 2324 2858 2762 1193 1617 912
2393,318 2762 593 858 260 1197 2858 1198 1196 2396
2395,2028 2858 2706 318 1198 457 589 1240 2683 260
2397,318 1307 260 1197 1198 1207 2324 1196 919 1148
2409,318 2396 2858 2762 608 1148 2336 2324 265 2908
2411,1136 541 750 858 924 1198 1206 1240 608 1196
2413,260 1198 1196 1197 1270 318 1136 1291 858 2762
2415,2762 318 1198 2858 260 2396 1197 858 593 919
2417,593 858 1198 1213 2028 1617 318 2858 608 1387
2429,858 2858 593 260 1213 608 1136 2028 1198 1208
2443,318 260 1198 2396 858 2762 919 1196 912 1307
2459,1196 1197 1198 2716 2762 593 318 589 1240 1200
2485,858 318 1198 1193 608 593 2762 2858 1213 541
2487,2858 1213 608 111 858 2997 2028 1193 593 1089
2491,2762 318 2858 1196 2028 1197 1198 858 1617 593
2499,2858 608 318 2762 858 2396 260 1193 593 1617
2501,318 2762 608 593 2997 2028 1617 2396 858 1213
2509,318 1193 858 1617 1213 2396 2599 2028 1207 1247
2511,2858 260 318 608 858 912 1198 2762 2997 1197
2515,908 858 912 1252 913 750 923 904 1219 919
2521,2762 2858 318 3793 3753 260 2028 1580 2706 1197
2529,260 318 608 2858 858 1198 2762 912 1193 1197
2531,260 2324 1198 1197 2762 1270 593 608 1307 858
2537,608 858 2858 2997 593 260 1617 1213 1198 318
2551,2762 2028 318 2858 260 1198 608 1197 1240 858
2553,318 1617 593 2028 260 2762 858 608 1213 1197
2559,2762 2028 1198 318 260 593 2858 1196 457 858
2563,2997 2858 260 858 1198 541 608 750 318 1197
2567,858 260 318 593 912 1198 2762 1196 1197 1193
2579,2858 2997 2599 2959 318 2762 858 2028 1213 2692
2581,858 1207 1193 1247 912 318 923 1617 608 1252
2591,1197 318 260 1198 2858 1136 858 2762 919 2997
2597,1196 541 750 1214 858 1200 589 318 608 1136
2599,2762 318 260 1198 3408 3147 593 1196 1214 457
2601,1198 2762 593 260 457 1196 1097 2396 1270 858
2613,1198 2762 260 318 1197 2858 2028 593 589 1196
2615,260 1198 1196 1270 318 2762 1197 593 2028 3147
2619,2858 593 318 858 1617 2762 2028 260 1193 1213
2621,1198 1097 1197 1270 2762 1580 1196 919 318 1291
2623,260 1196 1198 1214 1240 1136 1197 858 750 1278
2625,318 2762 858 593 260 1198 2858 3147 1193 1196
2627,318 2762 260 593 590 2028 1198 2396 1196 858
2661,858 912 908 593 904 1207 919 2396 318 1219
2667,593 1193 1136 2028 1213 2858 1208 1198 912 260
2677,593 2028 1198 318 2858 260 1270 2762 608 1213
2681,2858 1198 593 260 2997 1196 1197 318 1617 1213
2697,2028 1198 260 2762 318 593 457 1196 2858 589
2709,318 260 858 1198 2762 1197 919 608 2858 2396
2719,2858 1617 593 260 318 1197 1198 2997 2028 1213
2721,260 919 318 858 1198 1196 1148 2396 1193 593
2731,318 593 2028 260 457 1196 858 590 3147 733
2757,2762 318 593 1198 2028 2858 260 3147 457 1197
2763,912 750 858 923 1207 260 919 908 904 1148
2775,2762 318 1197 3147 1198 3753 1270 2028 260 1580
2781,260 1198 318 1196 2762 2028 1097 457 919 593
2795,260 318 858 1197 1148 1196 1198 593 608 2762
2797,2858 2762 318 2028 1198 260 858 589 457 1617
2803,260 1196 1197 2396 2762 919 2324 912 593 858
2817,260 1198 1197 858 593 1617 2791 2804 318 1089
2821,2858 318 2762 2028 2396 593 1617 1213 3481 2959
2823,260 1198 1196 2762 318 1197 593 589 1270 1291
2825,858 2858 593 1193 1213 318 908 912 608 2028
2827,260 1196 2762 318 1198 2858 593 1197 2028 858
2843,260 858 1198 318 912 750 1136 1193 2028 2858
2847,318 260 1198 2028 2762 1197 1196 858 2858 1136
2853,593 589 3753 457 3147 260 1198 2706 2396 1196
2869,2762 593 318 858 1198 260 2858 2028 1617 457
2871,2858 318 593 608 1617 1213 2997 858 2959 1193
2873,858 2858 750 2028 912 1136 318 1208 908 593
2879,858 593 2858 1213 608 318 1617 1198 260 1136
2883,2997 2858 2692 1197 2324 2908 2599 2762 913 924
2889,260 912 1198 750 318 919 1207 1197 923 904
2895,2762 2858 593 2028 1617 2336 3897 2396 2329 457
2903,2858 608 318 858 593 2762 1213 1193 1617 2028
2915,858 260 593 318 1198 2762 2858 2028 1193 1196
2939,2762 318 1197 260 1198 2028 593 1196 3147 457
2941,2858 2028 858 1213 593 318 2762 608 1617 2997
2949,318 593 608 912 904 1617 1198 923 1193 260
2953,2858 593 260 318 858 1198 2762 1196 1136 1617
2957,2858 318 858 2762 1136 593 260 1197 1196 1198
2959,858 260 924 1196 750 608 1198 593 912 1219
2961,260 318 1196 1198 2396 593 2858 608 1136 858
2965,318 2396 2762 1148 2324 2336 3481 260 593 912
2967,608 2858 318 1213 858 1617 593 1193 1247 2997
2983,2858 608 1213 858 1206 1089 2997 593 318 2028
2987,1198 260 593 318 858 908 608 912 2762 2396
2991,593 1089 2858 223 1198 2997 608 1136 1213 1387
2997,260 1198 1196 1197 318 1291 2028 1270 1240 457
3001,2762 318 3753 3147 539 457 150 1198 1270 1197
3005,2028 260 1198 2762 858 541 2858 1240 1196 318
3009,608 318 912 858 2858 1193 2324 1207 923 1617
3019,919 2762 908 2858 912 260 1198 318 2396 593
3021,260 1198 1196 1197 919 912 858 1270 904 913
3027,2858 2028 593 858 260 2762 1617 608 1196 1240
3029,858 318 2028 593 1617 260 1193 1198 2762 1213
3035,260 1198 1196 858 318 593 608 1193 2762 541
3039,318 858 2762 2858 593 2028 260 2396 1198 1617
3041,318 858 593 912 919 1207 2762 260 2396 1617
3043,260 1198 2028 593 2762 1196 318 858 589 1200
3045,260 858 1198 919 750 1278 912 1219 904 1136
3055,1198 318 858 608 1197 1617 2858 2028 1136 1193
3057,260 1196 1198 318 1197 919 2762 2396 1097 1270
3061,318 2762 608 2858 858 593 2028 1198 1193 1617
3067,2028 2762 318 260 1198 1196 858 593 1197 457
3079,2858 858 260 593 1617 1198 318 908 2028 608
3085,2762 780 733 318 593 3793 2028 2706 589 457
3087,593 318 2028 2959 1617 1198 260 1213 1196 1197
3089,858 912 318 1193 260 2858 1198 1247 2762 750
3095,318 260 1196 858 593 1198 608 2762 1617 1197
3103,2858 858 608 593 318 1193 2997 1617 908 750
3109,912 919 260 608 750 908 858 924 593 2762
3117,593 858 608 2858 318 1617 1193 260 1213 1196
3135,260 1196 1197 1198 318 593 2858 2762 1617 2396
3139,858 912 908 750 919 260 1198 923 2858 318
3141,318 2396 2762 1617 593 2324 1784 1197 608 1193
3143,2762 318 2028 260 1198 593 2858 1197 1196 858
3147,2762 593 318 2858 858 2028 1198 2396 1617 1219
3157,1198 858 318 2028 593 912 919 1617 1197 2858
3169,318 2858 593 2762 1198 260 2396 858 1197 608
3171,1198 919 912 750 904 908 910 923 1219 541
3179,2858 318 2762 260 2028 1198 593 1197 1196 541
3185,1198 260 1196 858 1240 1200 1270 1214 1291 589
